survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_band,family
0,3,1,22,1,0,7,S,Third,man,1,C,Southampton,no,0,2,2
1,1,0,38,1,0,71,C,First,woman,0,C,Cherbourg,yes,0,3,2
1,3,0,26,0,0,7,S,Third,woman,0,C,Southampton,yes,1,2,1
1,1,0,35,1,0,53,S,First,woman,0,C,Southampton,yes,0,3,2
0,3,1,35,0,0,8,S,Third,man,1,C,Southampton,no,1,3,1
0,3,1,28,0,0,8,Q,Third,man,1,C,Queenstown,no,1,2,1
0,1,1,54,0,0,51,S,First,man,1,E,Southampton,no,1,5,1
0,3,1,2,3,1,21,S,Third,child,0,C,Southampton,no,0,0,5
1,3,0,27,0,2,11,S,Third,woman,0,C,Southampton,yes,0,2,3
1,2,0,14,1,0,30,C,Second,child,0,C,Cherbourg,yes,0,1,2
1,3,0,4,1,1,16,S,Third,child,0,G,Southampton,yes,0,0,3
1,1,0,58,0,0,26,S,First,woman,0,C,Southampton,yes,1,5,1
0,3,1,20,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,39,1,5,31,S,Third,man,1,C,Southampton,no,0,3,7
0,3,0,14,0,0,7,S,Third,child,0,C,Southampton,no,1,1,1
1,2,0,55,0,0,16,S,Second,woman,0,C,Southampton,yes,1,5,1
0,3,1,2,4,1,29,Q,Third,child,0,C,Queenstown,no,0,0,6
1,2,1,28,0,0,13,S,Second,man,1,C,Southampton,yes,1,2,1
0,3,0,31,1,0,18,S,Third,woman,0,C,Southampton,no,0,3,2
1,3,0,28,0,0,7,C,Third,woman,0,C,Cherbourg,yes,1,2,1
0,2,1,35,0,0,26,S,Second,man,1,C,Southampton,no,1,3,1
1,2,1,34,0,0,13,S,Second,man,1,D,Southampton,yes,1,3,1
1,3,0,15,0,0,8,Q,Third,child,0,C,Queenstown,yes,1,1,1
1,1,1,28,0,0,35,S,First,man,1,A,Southampton,yes,1,2,1
0,3,0,8,3,1,21,S,Third,child,0,C,Southampton,no,0,0,5
1,3,0,38,1,5,31,S,Third,woman,0,C,Southampton,yes,0,3,7
0,3,1,28,0,0,7,C,Third,man,1,C,Cherbourg,no,1,2,1
0,1,1,19,3,2,263,S,First,man,1,C,Southampton,no,0,1,6
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
0,3,1,28,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
0,1,1,40,0,0,27,C,First,man,1,C,Cherbourg,no,1,4,1
1,1,0,28,1,0,146,C,First,woman,0,B,Cherbourg,yes,0,2,2
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
0,2,1,66,0,0,10,S,Second,man,1,C,Southampton,no,1,6,1
0,1,1,28,1,0,82,C,First,man,1,C,Cherbourg,no,0,2,2
0,1,1,42,1,0,52,S,First,man,1,C,Southampton,no,0,4,2
1,3,1,28,0,0,7,C,Third,man,1,C,Cherbourg,yes,1,2,1
0,3,1,21,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,0,18,2,0,18,S,Third,woman,0,C,Southampton,no,0,1,3
1,3,0,14,1,0,11,C,Third,child,0,C,Cherbourg,yes,0,1,2
0,3,0,40,1,0,9,S,Third,woman,0,C,Southampton,no,0,4,2
0,2,0,27,1,0,21,S,Second,woman,0,C,Southampton,no,0,2,2
0,3,1,28,0,0,7,C,Third,man,1,C,Cherbourg,no,1,2,1
1,2,0,3,1,2,41,C,Second,child,0,C,Cherbourg,yes,0,0,4
1,3,0,19,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,1,1
0,3,1,28,0,0,8,S,Third,man,1,C,Southampton,no,1,2,1
0,3,1,28,1,0,15,Q,Third,man,1,C,Queenstown,no,0,2,2
1,3,0,28,0,0,7,Q,Third,woman,0,C,Queenstown,yes,1,2,1
0,3,1,28,2,0,21,C,Third,man,1,C,Cherbourg,no,0,2,3
0,3,0,18,1,0,17,S,Third,woman,0,C,Southampton,no,0,1,2
0,3,1,7,4,1,39,S,Third,child,0,C,Southampton,no,0,0,6
0,3,1,21,0,0,7,S,Third,man,1,C,Southampton,no,1,2,1
1,1,0,49,1,0,76,C,First,woman,0,D,Cherbourg,yes,0,4,2
1,2,0,29,1,0,26,S,Second,woman,0,C,Southampton,yes,0,2,2
0,1,1,65,0,1,61,C,First,man,1,B,Cherbourg,no,0,6,2
1,1,1,28,0,0,35,S,First,man,1,C,Southampton,yes,1,2,1
1,2,0,21,0,0,10,S,Second,woman,0,C,Southampton,yes,1,2,1
0,3,1,28,0,0,7,C,Third,man,1,C,Cherbourg,no,1,2,1
1,2,0,5,1,2,27,S,Second,child,0,C,Southampton,yes,0,0,4
0,3,1,11,5,2,46,S,Third,child,0,C,Southampton,no,0,1,8
0,3,1,22,0,0,7,C,Third,man,1,C,Cherbourg,no,1,2,1
1,1,0,38,0,0,80,S,First,woman,0,B,Southampton,yes,1,3,1
0,1,1,45,1,0,83,S,First,man,1,C,Southampton,no,0,4,2
0,3,1,4,3,2,27,S,Third,child,0,C,Southampton,no,0,0,6
0,1,1,28,0,0,27,C,First,man,1,C,Cherbourg,no,1,2,1
1,3,1,28,1,1,15,C,Third,man,1,C,Cherbourg,yes,0,2,3
1,2,0,29,0,0,10,S,Second,woman,0,F,Southampton,yes,1,2,1
0,3,1,19,0,0,8,S,Third,man,1,C,Southampton,no,1,1,1
1,3,0,17,4,2,7,S,Third,woman,0,C,Southampton,yes,0,1,7
